MaStR-Nr. der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Anzahl der Solar-Module
SEE944219941160;2222;1818;76131;Karlsruhe;10421
SEE925686516303;1057;911;76133;Karlsruhe;5264
SEE916668511621;1731;1563;76135;Karlsruhe;8531
SEE928889467229;886;785;76137;Karlsruhe;3197
SEE902769190681;1936;1777;76139;Karlsruhe;10758
SEE936586945490;1766;1588;76149;Karlsruhe;8069
SEE923838200995;6503;6144;76185;Karlsruhe;29103
SEE964674879013;3357;3032;76187;Karlsruhe;11964
SEE909303632669;4183;3674;76189;Karlsruhe;26110
SEE944995526520;376;342;76199;Karlsruhe;2095
SEE914388991938;3579;3206;76227;Karlsruhe;15163
SEE959550768741;1208;1091;76228;Karlsruhe;5553
SEE988319812883;2184;2028;76229;Karlsruhe;9170
